,MX,MY,Limit (fb)
0,3500.0,600.0,0.26911497116088867
1,3500.0,900.0,0.09067826718091965
2,3500.0,1200.0,0.11395969986915588
3,3500.0,1600.0,0.10180774331092834
4,3500.0,2200.0,0.1295022964477539
5,3500.0,2800.0,0.2075149565935135
6,3000.0,70.0,9.655858993530273
7,3000.0,150.0,113.9769287109375
8,3000.0,400.0,3.601086378097534
9,3000.0,600.0,0.2495223879814148
10,3000.0,900.0,0.17289519309997559
11,3000.0,1600.0,0.18024444580078125
12,3000.0,2200.0,0.24016661942005157
13,3000.0,2600.0,0.8052059412002563
14,2800.0,70.0,10.55537223815918
15,2800.0,100.0,11.732063293457031
16,2800.0,190.0,237.75074768066406
17,2800.0,350.0,10.524463653564453
18,2800.0,600.0,0.3680970072746277
19,2800.0,1000.0,0.5342549085617065
20,2800.0,1400.0,0.4989635646343231
21,2800.0,2200.0,0.35355204343795776
22,1800.0,1200.0,1.0815982520580292
23,4000.0,60.0,31.798120498657227
24,4000.0,70.0,22.30072021484375
25,4000.0,80.0,20.6048583984375
26,4000.0,90.0,19.870159149169922
27,4000.0,100.0,20.896324157714844
28,4000.0,125.0,164.19183349609375
29,4000.0,300.0,91.17800903320312
30,4000.0,500.0,1.6443251371383667
31,4000.0,700.0,0.22494792938232422
32,4000.0,900.0,0.09568677097558975
33,4000.0,1100.0,0.1297648400068283
34,4000.0,1300.0,0.12229728698730469
35,4000.0,1600.0,0.11052823066711426
36,4000.0,2000.0,0.15200787782669067
37,4000.0,2400.0,0.13767166435718536
38,4000.0,2600.0,0.14441432058811188
39,3500.0,60.0,16.21131706237793
40,3500.0,70.0,11.2056884765625
41,3500.0,90.0,10.524682998657227
42,3500.0,125.0,82.3910903930664
43,3500.0,190.0,336.8896484375
44,3500.0,300.0,40.71044921875
45,3500.0,400.0,4.039440155029297
46,3500.0,500.0,0.9250404238700867
47,3500.0,800.0,0.09380951523780823
48,3500.0,1100.0,0.11886462569236755
49,3500.0,1400.0,0.1275150328874588
50,3500.0,2000.0,0.1422722339630127
51,3500.0,2500.0,0.14362096786499023
