,MX,MY,Limit (fb)
0,3500.0,600.0,0.204254150390625
1,3500.0,900.0,0.0695343017578125
2,3500.0,1200.0,0.0948333740234375
3,3500.0,1600.0,0.0877532958984375
4,3500.0,2200.0,0.10894775390625
5,3500.0,2800.0,0.180908203125
6,3000.0,70.0,8.099609375
7,3000.0,150.0,94.376953125
8,3000.0,400.0,2.666015625
9,3000.0,600.0,0.1772003173828125
10,3000.0,900.0,0.125885009765625
11,3000.0,1600.0,0.15328216552734375
12,3000.0,2200.0,0.2025604248046875
13,3000.0,2600.0,0.681976318359375
14,2800.0,70.0,8.826416015625
15,2800.0,100.0,9.550048828125
16,2800.0,190.0,193.36328125
17,2800.0,350.0,7.6748046875
18,2800.0,600.0,0.265106201171875
19,2800.0,1000.0,0.3719329833984375
20,2800.0,1400.0,0.35858154296875
21,2800.0,2200.0,0.2814483642578125
22,1800.0,1200.0,0.8164062350988388
23,1800.0,1200.0,0.81787109375
24,4000.0,60.0,27.046875
25,4000.0,70.0,19.08740234375
26,4000.0,80.0,17.64404296875
27,4000.0,90.0,17.0830078125
28,4000.0,100.0,17.9599609375
29,4000.0,125.0,139.74609375
30,4000.0,190.0,828.125
31,4000.0,300.0,75.23828125
32,4000.0,500.0,1.351806640625
33,4000.0,700.0,0.18279266357421875
34,4000.0,900.0,0.0768280029296875
35,4000.0,1100.0,0.11200714111328125
36,4000.0,1300.0,0.1059417724609375
37,4000.0,1600.0,0.0999755859375
38,4000.0,2000.0,0.13555145263671875
39,4000.0,2400.0,0.1188812255859375
40,4000.0,2600.0,0.124969482421875
41,3500.0,60.0,14.0263671875
42,3500.0,70.0,9.606689453125
43,3500.0,90.0,9.078125
44,3500.0,125.0,69.4111328125
45,3500.0,190.0,289.1875
46,3500.0,300.0,32.296875
47,3500.0,400.0,3.08837890625
48,3500.0,500.0,0.718170166015625
49,3500.0,800.0,0.074005126953125
50,3500.0,1100.0,0.099029541015625
51,3500.0,1400.0,0.10809326171875
52,3500.0,2000.0,0.12327194213867188
53,3500.0,2500.0,0.121337890625
54,3000.0,60.0,12.05126953125
55,3000.0,90.0,7.94091796875
56,3000.0,125.0,56.443359375
57,3000.0,300.0,23.710693359375
58,3000.0,450.0,1.2357177734375
59,3000.0,700.0,0.13726806640625
60,3000.0,1000.0,0.1922149658203125
61,3000.0,1300.0,0.17328643798828125
62,3000.0,1800.0,0.1649169921875
63,3000.0,2400.0,0.2727813720703125
64,3000.0,2800.0,173.765625
65,2800.0,80.0,8.483642578125
66,2800.0,125.0,56.810546875
67,2800.0,250.0,109.47265625
68,2800.0,400.0,3.224853515625
69,2800.0,700.0,0.2169647216796875
70,2800.0,1100.0,0.32354736328125
71,2800.0,1600.0,0.295166015625
72,2800.0,2400.0,0.700897216796875
73,4000.0,150.0,291.0859375
74,4000.0,250.0,374.2578125
75,4000.0,350.0,15.15185546875
76,4000.0,450.0,2.58984375
77,4000.0,600.0,0.39300537109375
78,4000.0,800.0,0.095947265625
79,4000.0,1000.0,0.1137542724609375
80,4000.0,1200.0,0.1075592041015625
81,4000.0,1400.0,0.11959457397460938
82,4000.0,1800.0,0.09759521484375
83,4000.0,2200.0,0.11766815185546875
84,4000.0,2200.0,0.11774902790784836
85,4000.0,2500.0,0.12096405029296875
86,4000.0,2800.0,0.145599365234375
87,3500.0,80.0,8.644775390625
88,3500.0,100.0,10.2626953125
89,3500.0,150.0,172.4794921875
90,3500.0,250.0,196.083984375
91,3500.0,350.0,7.8741455078125
92,3500.0,450.0,1.3577880859375
93,3500.0,700.0,0.09670639038085938
94,3500.0,1300.0,0.09441375732421875
95,3500.0,1800.0,0.08856582641601562
96,3500.0,2400.0,0.1153564453125
97,3500.0,2600.0,0.13287353515625
98,3000.0,80.0,7.9013671875
99,3000.0,100.0,8.883544921875
100,3000.0,190.0,212.26171875
101,3000.0,800.0,0.1268463134765625
102,3000.0,1100.0,0.1775970458984375
103,3000.0,2000.0,0.20355224609375
104,3000.0,2500.0,0.36370849609375
105,2800.0,60.0,13.12646484375
106,2800.0,90.0,8.412109375
107,2800.0,150.0,103.134765625
108,2800.0,450.0,1.323974609375
109,2800.0,800.0,0.2325439453125
110,2800.0,1200.0,0.313140869140625
111,2800.0,1800.0,0.309356689453125
112,2600.0,60.0,16.5107421875
113,2800.0,500.0,0.7408447265625
114,2800.0,900.0,0.2471923828125
115,2800.0,1300.0,0.311248779296875
116,2800.0,2000.0,0.2728271484375
117,2800.0,2500.0,29.619140625
118,2800.0,2600.0,314.6455078125
119,2600.0,70.0,11.75390625
120,2600.0,80.0,11.09130859375
121,2600.0,90.0,10.8896484375
122,2600.0,100.0,12.6669921875
123,2600.0,150.0,130.791015625
124,2600.0,190.0,269.9580078125
125,2600.0,250.0,129.2578125
126,2600.0,300.0,30.0
127,2600.0,350.0,6.429443359375
128,2600.0,400.0,2.491943359375
129,2600.0,450.0,0.97705078125
130,2600.0,500.0,0.523956298828125
131,2600.0,600.0,0.250579833984375
132,2600.0,700.0,0.2223663330078125
133,2600.0,800.0,0.24078369140625
134,2600.0,900.0,0.2545166015625
135,2600.0,1000.0,0.37384033203125
136,2600.0,1100.0,0.32354736328125
137,2600.0,1200.0,0.313140869140625
138,2600.0,1300.0,0.31787109375
139,2600.0,1400.0,0.386444091796875
140,2600.0,1600.0,0.3108978271484375
141,2600.0,1800.0,0.354766845703125
142,2600.0,2000.0,0.347900390625
143,2600.0,2200.0,0.6772918701171875
144,2600.0,2400.0,531.71875
145,2500.0,60.0,19.852294921875
146,2500.0,70.0,14.23583984375
147,2500.0,80.0,13.88671875
148,2500.0,90.0,13.76953125
149,2500.0,100.0,16.142578125
150,2500.0,125.0,87.5390625
151,2500.0,150.0,141.796875
152,2500.0,190.0,286.640625
153,2500.0,250.0,141.5390625
154,2500.0,300.0,28.99462890625
155,2500.0,350.0,5.7821044921875
156,2500.0,400.0,2.142333984375
157,2500.0,450.0,0.8212890625
158,2500.0,500.0,0.44293212890625
159,2500.0,600.0,0.24967193603515625
160,2500.0,700.0,0.22686767578125
161,2500.0,800.0,0.2471923828125
162,2500.0,900.0,0.25909423828125
163,2500.0,1000.0,0.377655029296875
164,2500.0,1100.0,0.3292236328125
165,2500.0,1200.0,0.3204345703125
166,2500.0,1300.0,0.32711029052734375
167,2500.0,1400.0,0.401824951171875
168,2500.0,1800.0,0.4062652587890625
169,2500.0,2000.0,0.4632568359375
170,2500.0,2200.0,26.734375
171,2400.0,60.0,24.81103515625
172,2400.0,70.0,17.251953125
173,2400.0,80.0,16.513427734375
174,2400.0,100.0,19.39013671875
175,2400.0,150.0,151.640625
176,2400.0,190.0,313.51171875
177,2400.0,250.0,156.2724609375
178,2400.0,300.0,26.619140625
179,2400.0,350.0,5.079345703125
180,2400.0,400.0,1.8365478515625
181,2400.0,450.0,0.691375732421875
182,2400.0,500.0,0.37091064453125
183,2400.0,600.0,0.25511932373046875
184,2400.0,700.0,0.2331695556640625
185,2400.0,900.0,0.2655029296875
186,2400.0,1000.0,0.3871917724609375
187,2400.0,1100.0,0.34046173095703125
188,2400.0,1200.0,0.3299713134765625
189,2400.0,1300.0,0.34046173095703125
190,2400.0,1400.0,0.4243927001953125
191,2400.0,1600.0,0.35572052001953125
192,2400.0,1800.0,0.486419677734375
193,2400.0,2000.0,0.87158203125
194,2400.0,2200.0,572.7734375
195,2200.0,60.0,34.4736328125
196,2200.0,70.0,23.98681640625
197,2200.0,80.0,23.13232421875
198,2200.0,90.0,23.189453125
199,2200.0,100.0,26.42431640625
200,2200.0,125.0,115.91015625
201,2200.0,150.0,176.818359375
202,2200.0,190.0,307.4541015625
203,2200.0,250.0,144.0
204,2200.0,300.0,21.76611328125
205,2200.0,350.0,3.966064453125
206,2200.0,400.0,1.37109375
207,2200.0,450.0,0.50091552734375
208,2200.0,500.0,0.329498291015625
209,2200.0,700.0,0.2664794921875
210,2200.0,800.0,0.28472900390625
211,2200.0,900.0,0.2972564697265625
212,2200.0,1000.0,0.432586669921875
213,2200.0,1100.0,0.382598876953125
214,2200.0,1200.0,0.38067626953125
215,2200.0,1300.0,0.401824951171875
216,2200.0,1400.0,0.515472412109375
217,2200.0,1600.0,0.497955322265625
218,2200.0,1800.0,1.32275390625
219,2200.0,2000.0,712.177734375
220,2000.0,60.0,44.7724609375
221,2000.0,70.0,30.375
222,2000.0,80.0,29.4375
223,2000.0,90.0,28.09375
224,2000.0,100.0,33.0
225,2000.0,125.0,142.7314453125
226,2000.0,150.0,184.0
227,2000.0,190.0,294.0
228,2000.0,250.0,143.0
229,2000.0,300.0,20.307861328125
230,2000.0,350.0,3.7913818359375
231,2000.0,400.0,1.24200439453125
232,2000.0,450.0,0.538330078125
233,2000.0,500.0,0.443115234375
