,MX,MY,Limit (fb)
190,2400.0,1400.0,0.85546875
191,2400.0,1600.0,0.728515625
192,2400.0,1800.0,0.98828125
193,2400.0,2000.0,1.859375
194,2400.0,2200.0,682.0
195,2200.0,60.0,71.75
196,2200.0,70.0,49.125
197,2200.0,80.0,47.375
198,2200.0,90.0,47.875
199,2200.0,100.0,53.6875
200,2200.0,125.0,235.5
201,2200.0,150.0,359.25
202,2200.0,190.0,619.75
203,2200.0,250.0,288.0
204,2200.0,300.0,47.625
205,2200.0,350.0,8.90625
206,2200.0,400.0,3.0
207,2200.0,450.0,1.10546875
208,2200.0,500.0,0.71484375
209,2200.0,700.0,0.578125
210,2200.0,800.0,0.607421875
211,2200.0,900.0,0.62890625
212,2200.0,1000.0,0.87890625
213,2200.0,1100.0,0.77734375
214,2200.0,1200.0,0.7734375
215,2200.0,1300.0,0.81640625
216,2200.0,1400.0,1.0390625
217,2200.0,1600.0,1.01171875
218,2200.0,1800.0,2.6875
219,2200.0,2000.0,832.5
220,2000.0,60.0,90.25
221,2000.0,70.0,60.75
222,2000.0,80.0,58.875
223,2000.0,90.0,56.1875
224,2000.0,100.0,66.0
225,2000.0,125.0,283.25
226,2000.0,150.0,368.0
227,2000.0,190.0,588.0
228,2000.0,250.0,286.0
229,2000.0,300.0,43.6875
230,2000.0,350.0,8.15625
231,2000.0,400.0,2.671875
232,2000.0,450.0,1.1484375
233,2000.0,500.0,0.9453125
234,2000.0,600.0,0.90234375
235,2000.0,700.0,0.86328125
236,2000.0,800.0,0.9140625
237,2000.0,900.0,0.93359375
238,2000.0,1000.0,1.3046875
239,2000.0,1100.0,1.2578125
240,2000.0,1200.0,1.296875
241,2000.0,1300.0,1.43359375
242,2000.0,1600.0,2.8046875
243,1800.0,60.0,110.0
244,1800.0,70.0,73.4375
245,1800.0,80.0,70.3125
246,1800.0,90.0,69.6875
247,1800.0,100.0,82.8125
248,1800.0,125.0,288.75
249,1800.0,150.0,405.0
250,1800.0,190.0,576.875
251,1800.0,300.0,36.40625
252,1800.0,350.0,5.37109375
253,1800.0,400.0,1.8408203125
254,1800.0,450.0,1.0986328125
255,1800.0,500.0,1.0039062798023224
256,1800.0,600.0,0.9912109375
257,1800.0,700.0,1.0498046875
258,1800.0,800.0,1.0693359375
259,1800.0,900.0,1.0205078125
260,1800.0,1000.0,1.552734375
261,1800.0,1100.0,1.474609375
262,1800.0,1300.0,2.177734375
263,1800.0,1400.0,3.96484375
264,1800.0,1600.0,1624.375
265,1600.0,60.0,155.625
266,1600.0,70.0,109.375
267,1600.0,80.0,97.5
268,1600.0,90.0,100.3125
269,1600.0,100.0,118.125
270,1600.0,125.0,381.25
271,1600.0,150.0,481.875
272,1600.0,190.0,753.75
273,1600.0,250.0,276.25
274,1600.0,300.0,27.890625
275,1600.0,350.0,4.1796875
276,1600.0,400.0,1.9921875
277,1600.0,450.0,1.6064453125
278,1600.0,500.0,1.5185546875
279,1600.0,600.0,1.54296875
280,1600.0,700.0,1.5966796875
281,1600.0,800.0,1.611328125
282,1600.0,900.0,1.62109375
283,1600.0,1000.0,2.470703125
284,1600.0,1100.0,2.87109375
285,1600.0,1200.0,5.703125
286,1600.0,1300.0,215.0
287,1600.0,1400.0,2317.5
288,1400.0,60.0,241.875
289,1400.0,70.0,162.1875
290,1400.0,80.0,148.125
291,1400.0,100.0,172.1875
292,1400.0,125.0,469.375
293,1400.0,150.0,591.25
294,1400.0,190.0,716.875
295,1400.0,250.0,280.0
296,1400.0,350.0,3.4375
297,1400.0,400.0,2.314453125
298,1400.0,450.0,2.2265625
299,1400.0,500.0,2.255859375
300,1400.0,600.0,2.177734375
301,1400.0,700.0,2.20703125
302,1400.0,800.0,2.236328125
303,1400.0,900.0,2.65625
304,1400.0,1000.0,5.41015625
305,1400.0,1100.0,153.125
306,1400.0,1200.0,3627.5
307,1200.0,60.0,393.75
308,1200.0,70.0,284.375
309,1200.0,80.0,255.0
310,1200.0,90.0,249.375
311,1200.0,100.0,303.125
312,1200.0,125.0,627.5
313,1200.0,150.0,736.25
314,1200.0,190.0,743.75
315,1000.0,60.0,756.25
316,800.0,250.0,1056.25
317,1000.0,800.0,6185.0
318,900.0,70.0,803.125
319,900.0,90.0,778.125
320,900.0,125.0,1190.625
321,900.0,600.0,865.625
322,800.0,80.0,1065.625
323,800.0,90.0,1137.5
324,800.0,300.0,743.75
325,800.0,400.0,971.875
326,800.0,150.0,1662.5
327,1200.0,250.0,229.6875
328,1200.0,300.0,12.7734375
329,1200.0,350.0,4.82421875
330,1200.0,400.0,4.375
331,1200.0,450.0,4.23828125
332,1200.0,500.0,4.0625
333,1200.0,600.0,3.88671875
334,1200.0,700.0,4.31640625
335,1200.0,800.0,7.8515625
336,1200.0,900.0,151.875
337,1200.0,1000.0,4002.5
338,1000.0,70.0,533.75
339,1000.0,80.0,476.25
340,1000.0,90.0,497.5
341,1000.0,100.0,611.25
342,1000.0,125.0,920.0
343,1000.0,150.0,992.5
344,1000.0,190.0,836.25
345,1000.0,250.0,325.0
346,1000.0,300.0,25.46875
347,1000.0,350.0,16.015625
348,1000.0,400.0,13.359375
349,1000.0,450.0,13.203125
350,1000.0,500.0,13.1640625
351,1000.0,600.0,23.90625
352,1000.0,700.0,339.375
353,900.0,60.0,1143.75
354,900.0,80.0,790.625
355,900.0,100.0,881.25
356,900.0,150.0,1323.4375
357,900.0,250.0,496.875
358,900.0,300.0,82.421875
359,900.0,400.0,44.921875
360,900.0,500.0,73.046875
361,900.0,700.0,7100.0
362,800.0,60.0,1546.875
363,800.0,70.0,1181.25
364,800.0,125.0,1712.5
365,800.0,100.0,1346.875
366,800.0,500.0,2725.0
367,800.0,600.0,9075.0
368,700.0,60.0,2175.0
369,700.0,70.0,1812.5
370,700.0,80.0,1637.5
371,700.0,90.0,1665.625
372,700.0,100.0,2025.0
373,700.0,125.0,2512.5
374,700.0,150.0,2671.875
375,700.0,250.0,2993.75
376,700.0,300.0,2912.5
377,700.0,400.0,4387.5
378,600.0,60.0,3587.5
379,600.0,70.0,2543.75
380,600.0,250.0,8775.0
381,280.0,60.0,52275.0
382,500.0,70.0,7737.5
383,500.0,100.0,7725.0
384,500.0,125.0,9400.0
385,500.0,150.0,17850.0
386,500.0,300.0,28050.0
387,400.0,70.0,10575.0
388,400.0,100.0,18725.0
389,360.0,60.0,20175.0
390,360.0,90.0,60800.0
391,300.0,60.0,100000.0
392,700.0,500.0,17750.0
393,600.0,80.0,2537.5
394,600.0,90.0,2771.875
395,500.0,250.0,21950.0
396,400.0,90.0,17325.0
397,400.0,150.0,100000.0
398,360.0,100.0,33675.0
399,600.0,100.0,3337.5
400,320.0,70.0,100000.0
401,600.0,300.0,7737.5
402,320.0,60.0,32325.0
403,600.0,400.0,23125.0
404,320.0,80.0,78100.0
405,320.0,90.0,66650.0
406,320.0,125.0,100000.0
407,500.0,60.0,6287.5
408,500.0,80.0,5250.0
409,500.0,90.0,6812.5
410,400.0,60.0,14550.0
411,400.0,80.0,19675.0
412,400.0,125.0,45175.0
413,360.0,70.0,21725.0
414,360.0,125.0,45200.0
415,320.0,100.0,81550.0
416,300.0,125.0,59900.0
417,600.0,125.0,4693.75
418,360.0,80.0,50175.0
419,360.0,150.0,96400.0
420,600.0,150.0,6637.5
