,MX,MY,Limit (fb)
0,3500.0,600.0,0.4145453832211757
1,3500.0,900.0,0.20827184497298204
2,3500.0,1200.0,0.30368346214948305
3,3500.0,1600.0,0.2529864847925881
4,3500.0,2200.0,0.14004019510602805
5,3500.0,2800.0,0.21795844098675077
6,3000.0,70.0,20.17288625602731
7,3000.0,150.0,225.81586103367516
8,3000.0,400.0,5.368034098293556
9,3000.0,600.0,0.2904300745412949
10,3000.0,900.0,0.2639104247447773
11,3000.0,1600.0,0.49448815397848167
12,3000.0,2200.0,0.2995492766396876
13,3000.0,2600.0,0.9711613288875416
14,2800.0,70.0,21.051220361139244
15,2800.0,100.0,22.24169651205448
16,2800.0,190.0,415.51722654243315
17,2800.0,350.0,16.33144946763567
18,2800.0,600.0,0.31010598865800487
19,2800.0,1000.0,0.6208991776991258
20,2800.0,1400.0,0.853024776476693
21,2800.0,2200.0,0.6871550950723292
22,1800.0,1200.0,1.405727700310605
23,1800.0,1200.0,1.404215617125465
24,4000.0,60.0,103.63696696010697
25,4000.0,70.0,70.054413263165
26,4000.0,80.0,64.88524194309929
27,4000.0,90.0,57.770756322131426
28,4000.0,100.0,60.1451090503791
29,4000.0,125.0,456.46875550566693
30,4000.0,190.0,2177.2750026103054
31,4000.0,300.0,0.0006280332523412814
32,4000.0,500.0,2.751444324542414
33,4000.0,700.0,0.37940294039068906
34,4000.0,900.0,0.24821995201820632
35,4000.0,1100.0,0.3794431353677131
36,4000.0,1300.0,0.3681074687859356
37,4000.0,1600.0,0.3117045089571182
38,4000.0,2000.0,0.2768557681457457
39,4000.0,2400.0,0.18652065115755562
40,4000.0,2600.0,0.19449172893872083
41,3500.0,60.0,43.01639679045602
42,3500.0,70.0,28.106575193877326
43,3500.0,90.0,25.534347832655516
44,3500.0,125.0,190.19028885590686
45,3500.0,190.0,849.9376454362823
46,3500.0,300.0,84.07818756188759
47,3500.0,400.0,6.765139140979165
48,3500.0,500.0,1.3821941310713188
49,3500.0,800.0,0.22882993217304756
50,3500.0,1100.0,0.312873030842473
51,3500.0,1400.0,0.352162803562399
52,3500.0,2000.0,0.17861998724210953
53,3500.0,2500.0,0.15433149727622805
54,3000.0,60.0,31.47889433957809
55,3000.0,90.0,19.631806158793207
56,3000.0,125.0,136.56125666036988
57,3000.0,300.0,53.86197609292605
58,3000.0,450.0,2.1598082785771773
59,3000.0,700.0,0.21622910362767495
60,3000.0,1000.0,0.4670381782893412
61,3000.0,1300.0,0.5179536146486002
62,3000.0,1800.0,0.491055679112807
63,3000.0,2400.0,0.3980231874507018
64,3000.0,2800.0,239.5412648152118
65,2800.0,80.0,20.33580531810762
66,2800.0,125.0,129.5388692079011
67,2800.0,250.0,226.76275581675827
68,2800.0,400.0,5.659447303388021
69,2800.0,700.0,0.27813770753764805
70,2800.0,1100.0,0.67685641795679
71,2800.0,1600.0,0.9761115034479864
72,2800.0,2400.0,1.672970677195926
73,4000.0,150.0,948.8115323270258
74,4000.0,250.0,1042.8841159650974
75,4000.0,350.0,43.78769135278302
76,4000.0,450.0,5.751562333654288
77,4000.0,600.0,0.83656326345245
78,4000.0,800.0,0.31380799693211187
79,4000.0,1000.0,0.36585918697735637
80,4000.0,1200.0,0.37039427025452765
81,4000.0,1400.0,0.42326924579146086
82,4000.0,1800.0,0.27960068722009257
84,4000.0,2200.0,0.16268410347418763
85,4000.0,2500.0,0.18980915171221685
86,4000.0,2800.0,0.19388569239213949
87,3500.0,80.0,24.774638441920494
88,3500.0,100.0,28.655327204777812
89,3500.0,150.0,487.13161613310297
90,3500.0,250.0,450.95849316145103
91,3500.0,350.0,20.44868246059741
92,3500.0,450.0,2.8403785640472985
93,3500.0,700.0,0.19039691532064562
94,3500.0,1300.0,0.3045307507893905
95,3500.0,1800.0,0.23371778494674234
96,3500.0,2400.0,0.147264173162302
97,3500.0,2600.0,0.16845695075346748
98,3000.0,80.0,20.17840953153713
99,3000.0,100.0,21.996495877545172
100,3000.0,190.0,465.65491399491947
101,3000.0,800.0,0.3307406666739572
102,3000.0,1100.0,0.5146072831866981
103,3000.0,2000.0,0.3159893927548119
104,3000.0,2500.0,0.5229721983069925
105,2800.0,60.0,31.651346433155553
106,2800.0,90.0,19.909342320977792
107,2800.0,150.0,230.65241163542706
108,2800.0,450.0,2.108868029893719
109,2800.0,800.0,0.36962026981344187
110,2800.0,1200.0,0.670607025690869
111,2800.0,1800.0,0.9614515303225339
112,2600.0,60.0,35.59275243473094
113,2800.0,500.0,0.9863656060585559
114,2800.0,900.0,0.3234506660560029
115,2800.0,1300.0,0.6712917535948644
116,2800.0,2000.0,0.7409663080985653
117,2800.0,2500.0,64.02313563150031
118,2800.0,2600.0,359.4154393077241
119,2600.0,70.0,25.370704181169245
120,2600.0,80.0,23.495164872097146
121,2600.0,90.0,23.25516060268712
122,2600.0,100.0,26.45058296943091
123,2600.0,150.0,247.3422381966655
124,2600.0,190.0,448.9802543296069
125,2600.0,250.0,756.7759165792601
126,2600.0,300.0,57.44114683236167
127,2600.0,350.0,13.757064426363414
128,2600.0,400.0,4.372848487489882
129,2600.0,450.0,1.6033093247980261
130,2600.0,500.0,0.7268402843000571
131,2600.0,600.0,0.2995606474102125
132,2600.0,700.0,0.28275646877626637
133,2600.0,800.0,0.34457174138350116
134,2600.0,900.0,0.32835309591418294
135,2600.0,1000.0,0.5756227699729586
136,2600.0,1100.0,0.6167748401074655
137,2600.0,1200.0,0.611470364622685
138,2600.0,1300.0,0.6281524441561661
139,2600.0,1400.0,0.8936527022517298
140,2600.0,1600.0,1.0012597955362204
141,2600.0,1800.0,1.167190629407092
142,2600.0,2000.0,1.0733042172952332
143,2600.0,2200.0,1.8444415993080456
144,2600.0,2400.0,659.092399769142
145,2500.0,60.0,38.916989901461534
146,2500.0,70.0,27.030377507793332
147,2500.0,80.0,26.559211866443505
148,2500.0,90.0,25.158991053857882
149,2500.0,100.0,29.98168056585903
