,MX,MY,p-value
190,1600.0,1200.0,0.5
191,1600.0,1300.0,0.5
192,1600.0,1400.0,0.5
193,1400.0,350.0,0.3542058346235981
194,1400.0,400.0,0.5
195,1400.0,450.0,0.5
196,1400.0,500.0,0.4980220759460281
197,1400.0,600.0,0.49867403423519907
198,1400.0,700.0,0.38990403969611503
199,1400.0,800.0,0.4062696789449334
200,1400.0,900.0,0.20648126496999492
201,1400.0,1000.0,0.20668140559998843
202,1400.0,1100.0,0.23570945465570742
203,1400.0,1200.0,0.5
204,1000.0,800.0,0.5
205,900.0,600.0,0.5
206,800.0,300.0,0.5
207,800.0,400.0,0.09580988991203582
208,1200.0,300.0,0.16563556725431416
209,1200.0,350.0,0.16009624837157166
210,1200.0,400.0,0.5
211,1200.0,450.0,0.5
212,1200.0,500.0,0.5
213,1200.0,600.0,0.22680267983881425
214,1200.0,700.0,0.09161487096474868
215,1200.0,800.0,0.36838032242858443
216,1200.0,900.0,0.01892721799214195
217,1200.0,1000.0,0.5
218,1000.0,300.0,0.5
219,1000.0,350.0,0.5
220,1000.0,400.0,0.5
221,1000.0,450.0,0.3925926919052196
222,1000.0,500.0,0.07695067000687332
223,1000.0,600.0,0.04336121842114587
224,1000.0,700.0,0.5
225,900.0,300.0,0.5
226,900.0,400.0,0.5
227,900.0,500.0,0.034425888913624796
228,900.0,700.0,0.5
229,800.0,500.0,0.16305652707426882
230,800.0,600.0,0.5
