,MX,MY,Limit (fb)
0,3500.0,600.0,1.634006381034851
1,3500.0,900.0,0.5505664944648743
2,3500.0,1200.0,0.6173798441886902
3,3500.0,1600.0,0.5911686420440674
4,3500.0,2200.0,0.6794319748878479
5,3500.0,2800.0,1.0944652557373047
6,3000.0,70.0,46.2304801940918
7,3000.0,150.0,528.9435424804688
8,3000.0,400.0,17.986717224121094
9,3000.0,600.0,1.3658084869384766
10,3000.0,900.0,0.9407032132148743
11,3000.0,1600.0,0.9613783955574036
12,3000.0,2200.0,1.1096892356872559
13,3000.0,2600.0,3.746915102005005
14,2800.0,70.0,49.03778076171875
15,2800.0,100.0,52.025230407714844
16,2800.0,190.0,1065.18310546875
17,2800.0,350.0,42.818416595458984
18,2800.0,600.0,1.4320670366287231
19,2800.0,1000.0,1.7752429246902466
20,2800.0,1400.0,1.7171992063522339
21,2800.0,2200.0,1.5039225816726685
22,1800.0,1200.0,3.633960783481598
23,1800.0,1200.0,3.6306753754615784
24,4000.0,60.0,218.7421112060547
25,4000.0,70.0,152.77828979492188
26,4000.0,80.0,138.35250854492188
27,4000.0,90.0,129.98406982421875
28,4000.0,100.0,131.4783172607422
29,4000.0,125.0,1023.009033203125
30,4000.0,190.0,3032.819580078125
31,4000.0,300.0,566.7645874023438
32,4000.0,500.0,10.703926086425781
33,4000.0,700.0,1.4624074697494507
34,4000.0,900.0,0.6276305317878723
35,4000.0,1100.0,0.8198285698890686
36,4000.0,1300.0,0.7754335403442383
37,4000.0,1600.0,0.7458828091621399
38,4000.0,2000.0,0.9548392295837402
39,4000.0,2400.0,0.8701786994934082
40,4000.0,2600.0,0.9234929084777832
41,3500.0,60.0,102.67980194091797
42,3500.0,70.0,68.3788070678711
43,3500.0,90.0,59.340858459472656
44,3500.0,125.0,442.5932922363281
45,3500.0,190.0,1877.0306396484375
46,3500.0,300.0,209.93328857421875
47,3500.0,400.0,23.805391311645508
48,3500.0,500.0,5.51727819442749
49,3500.0,800.0,0.5742231607437134
50,3500.0,1100.0,0.6422573328018188
51,3500.0,1400.0,0.6687788367271423
52,3500.0,2000.0,0.7261642813682556
53,3500.0,2500.0,0.7567006945610046
54,3000.0,60.0,73.20149993896484
55,3000.0,90.0,44.50554275512695
56,3000.0,125.0,316.341552734375
57,3000.0,300.0,145.80149841308594
58,3000.0,450.0,8.216875076293945
59,3000.0,700.0,0.9571874737739563
60,3000.0,1000.0,1.1384860277175903
61,3000.0,1300.0,1.035455584526062
62,3000.0,1800.0,1.0024605989456177
63,3000.0,2400.0,1.486014723777771
64,3000.0,2800.0,460.2444763183594
65,2800.0,80.0,47.3403434753418
66,2800.0,125.0,311.2259216308594
67,2800.0,250.0,603.0535888671875
68,2800.0,400.0,17.24262809753418
69,2800.0,700.0,1.1925582885742188
70,2800.0,1100.0,1.5709691047668457
71,2800.0,1600.0,1.4342844486236572
72,2800.0,2400.0,3.7452521324157715
73,4000.0,150.0,2130.84619140625
74,4000.0,250.0,2603.287109375
75,4000.0,350.0,123.88741302490234
76,4000.0,450.0,20.935087203979492
77,4000.0,600.0,3.2447314262390137
78,4000.0,800.0,0.7756247520446777
79,4000.0,1000.0,0.8405462503433228
80,4000.0,1200.0,0.7872722148895264
81,4000.0,1400.0,0.8583263158798218
82,4000.0,1800.0,0.728123664855957
83,4000.0,2200.0,0.8612816333770752
84,4000.0,2200.0,0.8618736267089844
85,4000.0,2500.0,0.8938754200935364
86,4000.0,2800.0,1.0863327980041504
87,3500.0,80.0,59.37534713745117
88,3500.0,100.0,64.43701934814453
89,3500.0,150.0,1074.537109375
90,3500.0,250.0,1155.0819091796875
91,3500.0,350.0,55.1494026184082
92,3500.0,450.0,10.750404357910156
93,3500.0,700.0,0.742938220500946
94,3500.0,1300.0,0.6146480441093445
95,3500.0,1800.0,0.591414749622345
96,3500.0,2400.0,0.719398558139801
97,3500.0,2600.0,0.8253681063652039
98,3000.0,80.0,45.143489837646484
99,3000.0,100.0,49.78857421875
100,3000.0,190.0,1162.8360595703125
101,3000.0,800.0,0.9157383441925049
102,3000.0,1100.0,1.0699838399887085
103,3000.0,2000.0,1.1506603956222534
104,3000.0,2500.0,1.9836628437042236
105,2800.0,60.0,76.72309112548828
106,2800.0,90.0,46.339908599853516
107,2800.0,150.0,568.1399536132812
108,2800.0,450.0,7.48429536819458
109,2800.0,800.0,1.2330032587051392
110,2800.0,1200.0,1.520440936088562
111,2800.0,1800.0,1.4896762371063232
112,2600.0,60.0,95.13546752929688
113,2800.0,500.0,4.001940727233887
114,2800.0,900.0,1.3038740158081055
115,2800.0,1300.0,1.5112539529800415
116,2800.0,2000.0,1.4163618087768555
117,2800.0,2500.0,157.95286560058594
118,2800.0,2600.0,537.7837524414062
119,2600.0,70.0,64.67744445800781
120,2600.0,80.0,60.42145919799805
121,2600.0,90.0,58.79023361206055
122,2600.0,100.0,67.81095886230469
123,2600.0,150.0,712.5023803710938
124,2600.0,190.0,1430.243896484375
125,2600.0,250.0,671.4874267578125
126,2600.0,300.0,155.848388671875
127,2600.0,350.0,36.66103744506836
128,2600.0,400.0,13.575210571289062
129,2600.0,450.0,5.582259654998779
130,2600.0,500.0,2.854325294494629
131,2600.0,600.0,1.353597640991211
132,2600.0,700.0,1.2236005067825317
133,2600.0,800.0,1.276692271232605
134,2600.0,900.0,1.342507243156433
135,2600.0,1000.0,1.7843468189239502
136,2600.0,1100.0,1.5709691047668457
137,2600.0,1200.0,1.5192530155181885
138,2600.0,1300.0,1.5422025918960571
139,2600.0,1400.0,1.820647954940796
140,2600.0,1600.0,1.4974734783172607
141,2600.0,1800.0,1.6847786903381348
142,2600.0,2000.0,1.826645851135254
143,2600.0,2200.0,3.625786781311035
144,2600.0,2400.0,951.966552734375
145,2500.0,60.0,112.34329223632812
146,2500.0,70.0,75.42181396484375
147,2500.0,80.0,72.95906066894531
148,2500.0,90.0,72.29672241210938
149,2500.0,100.0,84.30917358398438
150,2500.0,125.0,454.7607421875
151,2500.0,150.0,722.6544799804688
152,2500.0,190.0,1490.0919189453125
153,2500.0,250.0,700.1395263671875
154,2500.0,300.0,153.51516723632812
155,2500.0,350.0,33.61491012573242
156,2500.0,400.0,11.770414352416992
157,2500.0,450.0,4.692334175109863
158,2500.0,500.0,2.4129347801208496
159,2500.0,600.0,1.3486932516098022
160,2500.0,700.0,1.2469903230667114
161,2500.0,800.0,1.3098679780960083
162,2500.0,900.0,1.3603705167770386
163,2500.0,1000.0,1.7980142831802368
164,2500.0,1100.0,1.5972812175750732
165,2500.0,1200.0,1.5345184803009033
166,2500.0,1300.0,1.5613033771514893
167,2500.0,1400.0,1.870713233947754
168,2500.0,1800.0,1.9212464094161987
169,2500.0,2000.0,2.4291839599609375
170,2500.0,2200.0,147.10948181152344
171,2400.0,60.0,134.02577209472656
172,2400.0,70.0,88.40375518798828
173,2400.0,80.0,84.15913391113281
174,2400.0,100.0,97.94032287597656
175,2400.0,150.0,779.8164672851562
176,2400.0,190.0,1493.267333984375
177,2400.0,250.0,759.2451782226562
178,2400.0,300.0,142.1322784423828
179,2400.0,350.0,29.52934455871582
180,2400.0,400.0,10.105851173400879
181,2400.0,450.0,3.984438896179199
182,2400.0,500.0,2.0296590328216553
183,2400.0,600.0,1.3781193494796753
184,2400.0,700.0,1.281628966331482
185,2400.0,900.0,1.3931196928024292
186,2400.0,1000.0,1.8310470581054688
187,2400.0,1100.0,1.6263437271118164
188,2400.0,1200.0,1.5709922313690186
189,2400.0,1300.0,1.6155086755752563
