,MX,MY,Limit (fb)
0,3500.0,600.0,0.4703125059604645
1,3500.0,900.0,0.15703125298023224
2,3500.0,1200.0,0.18515625596046448
3,3500.0,1600.0,0.16953125596046448
4,3500.0,2200.0,0.20781250298023224
5,3500.0,2800.0,0.3343749940395355
6,3000.0,400.0,5.949999809265137
7,3000.0,600.0,0.42656248807907104
8,3000.0,900.0,0.29296875
9,3000.0,1600.0,0.2953124940395355
10,3000.0,2200.0,0.3765625059604645
11,3000.0,2600.0,1.2625000476837158
12,2800.0,350.0,16.200000762939453
13,2800.0,600.0,0.559374988079071
14,2800.0,1000.0,0.784375011920929
15,2800.0,1400.0,0.7406250238418579
16,2800.0,2200.0,0.5484374761581421
17,1800.0,1200.0,1.5937499701976776
18,4000.0,300.0,154.5
19,4000.0,500.0,2.9124999046325684
20,4000.0,700.0,0.3984375
21,4000.0,900.0,0.17109374701976776
22,4000.0,1100.0,0.21796874701976776
23,4000.0,1300.0,0.20624999701976776
24,4000.0,1600.0,0.19140625
25,4000.0,2000.0,0.25312501192092896
26,4000.0,2400.0,0.23125000298023224
27,4000.0,2600.0,0.24453124403953552
28,3500.0,300.0,66.69999694824219
29,3500.0,400.0,6.875
30,3500.0,500.0,1.587499976158142
31,3500.0,800.0,0.16171875596046448
32,3500.0,1100.0,0.19374999403953552
33,3500.0,1400.0,0.20546874403953552
34,3500.0,2000.0,0.2265625
35,3500.0,2500.0,0.23046875
36,3000.0,300.0,50.099998474121094
37,3000.0,450.0,2.700000047683716
38,3000.0,700.0,0.3062500059604645
39,3000.0,1000.0,0.38749998807907104
40,3000.0,1300.0,0.3499999940395355
41,3000.0,1800.0,0.31562501192092896
42,3000.0,2400.0,0.504687488079071
43,3000.0,2800.0,231.39999389648438
44,2800.0,400.0,6.675000190734863
45,2800.0,700.0,0.46406251192092896
46,2800.0,1100.0,0.671875
47,2800.0,1600.0,0.559374988079071
48,2800.0,2400.0,1.3624999523162842
49,4000.0,350.0,35.70000076293945
50,4000.0,450.0,5.699999809265137
51,4000.0,600.0,0.887499988079071
52,4000.0,800.0,0.20937499403953552
53,4000.0,1000.0,0.22499999403953552
54,4000.0,1200.0,0.20937499403953552
55,4000.0,1400.0,0.22968749701976776
56,4000.0,1800.0,0.18671874701976776
